StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10,Assignment11,Assignment12,Assignment13,Assignment14,Assignment15,Assignment16,Assignment17,Assignment18,Assignment19,Assignment20,Assignment21,Assignment22,Assignment23,Assignment24,Assignment25,Assignment26,Assignment27,Assignment28,Assignment29,Assignment30,Assignment31
s205978,Elias Petersen,-1.7,-2.8,0.3,-1.5,6.6,10.4,11.0,6.0,10.7,,-2.8,10.0,-2.2,1.9,4.2,5.6,0.5,7.4,10.0,7.4,10.3,9.7,-2.1,5.9,11.6,-2.2,9.9,-0.7,-1.0,7.1,-0.5
s225246,Alma Møller,4.5,10.1,3.7,5.0,11.3,8.1,3.7,9.6,8.1,,8.5,3.5,3.4,0.1,0.5,6.8,8.6,2.2,8.0,10.9,7.8,,3.2,6.9,,0.4,8.2,9.8,10.2,9.5,7.7
s221847,Daniel Petersen,11.3,-2.3,3.9,0.6,-1.2,1.0,,8.0,8.7,3.9,6.5,9.7,9.9,4.4,-0.1,10.1,1.4,5.6,4.7,1.9,-2.8,-1.7,4.5,9.4,8.4,1.5,5.2,10.0,0.6,6.3,1.4
s198903,Sophie Møller,8.3,11.8,5.7,-0.6,6.5,11.1,0.9,6.0,10.6,3.2,-2.3,2.7,3.4,10.4,0.3,,-2.9,11.2,-0.8,8.3,7.5,3.2,9.5,6.0,10.9,9.6,-0.5,-3.0,4.3,11.4,10.9
s206778,Jonas Dahl,4.7,8.9,9.5,-2.1,8.4,,4.3,-1.0,4.9,10.6,-2.2,3.4,8.6,8.5,4.9,-0.0,-1.2,3.3,1.2,0.9,0.2,6.2,-0.4,4.4,6.1,8.6,0.6,-2.4,1.9,5.8,
s194130,Sebastian Jørgensen,0.4,7.7,-1.7,8.4,3.9,-1.1,0.2,3.7,10.6,4.6,-1.4,9.3,-2.5,-1.5,4.9,8.0,11.8,,2.8,8.0,0.7,-0.8,7.0,8.7,1.9,8.1,8.5,5.4,3.8,-2.9,0.0
s221052,Maria Sørensen,7.7,-1.3,2.6,-0.8,8.5,10.6,7.5,1.8,6.5,-2.0,-1.3,8.0,1.9,1.1,9.2,8.7,7.1,0.3,4.1,6.4,6.4,4.9,7.6,9.3,4.6,9.5,-1.2,,2.5,10.5,-0.3
s208225,Sophia Nielsen,8.7,6.3,1.1,11.3,-1.1,1.2,5.4,-0.5,,11.7,11.2,5.3,-0.1,7.0,,6.2,-2.1,0.9,-1.0,5.6,2.7,9.7,10.5,5.3,-2.9,1.8,5.8,8.8,2.9,9.9,6.0
s209518,Victor Sørensen,5.4,6.5,,6.6,7.6,-1.5,5.5,6.7,10.8,9.7,5.9,4.0,0.7,5.1,9.6,-1.3,10.3,11.7,9.1,1.8,9.2,3.1,5.6,4.2,6.4,9.3,1.6,4.8,8.3,1.1,-0.2
s222818,Mathias Laursen,4.0,-1.1,9.9,8.1,-0.5,0.7,11.5,5.2,0.5,8.6,4.3,7.8,11.2,-0.3,11.9,8.2,-1.9,0.7,10.2,1.3,8.8,,7.1,1.8,-1.7,0.4,9.2,5.4,8.4,5.4,5.8
s211686,Benjamin Dahl,0.6,-1.5,5.0,4.4,8.3,7.3,7.9,4.0,0.7,10.6,-2.7,1.6,10.5,10.5,10.0,5.4,9.2,4.9,4.1,8.4,,6.9,-1.4,11.7,,10.1,-0.6,5.5,2.2,2.0,-0.8
s195515,Jacob Kjeldsen,0.2,-2.2,10.6,-1.9,-2.1,,-0.8,11.3,3.1,4.5,5.7,6.1,7.5,9.6,10.4,-2.2,3.3,9.6,8.9,11.2,,1.3,2.6,7.1,,5.2,8.2,-1.2,-1.3,-1.9,8.1
s201106,Victor Holm,4.7,4.2,10.9,9.0,-1.4,4.7,2.1,8.4,10.0,10.1,7.2,7.9,-1.3,8.8,8.3,4.9,,1.9,6.0,-2.8,11.7,-2.8,0.8,2.9,-0.4,8.2,9.8,9.8,1.2,0.8,5.4
s198397,Sara Kjeldsen,1.3,9.7,-2.0,6.2,9.9,,3.5,3.9,11.1,-1.3,3.2,5.7,-1.6,3.3,,2.1,11.8,-2.6,2.1,10.9,10.1,,-0.0,1.4,5.4,10.1,0.4,7.3,3.0,,10.4
s215239,Jonas Gregersen,-1.6,0.4,4.4,4.3,5.5,10.8,9.1,6.1,-1.5,7.4,0.3,9.7,5.5,4.1,3.3,9.9,-1.0,6.2,0.5,5.8,0.3,11.6,4.7,1.5,8.4,-2.0,-0.9,-2.5,2.4,1.9,-0.7
s203977,Sebastian Bertelsen,-2.3,0.8,2.5,9.4,0.4,-0.8,9.5,7.3,,8.1,8.1,-0.8,8.8,-0.8,4.9,-1.2,8.8,4.1,9.5,3.6,5.0,1.4,,3.2,1.0,-1.3,,-1.6,-2.1,8.5,11.8
s211000,Ida Petersen,0.8,7.7,0.3,-0.9,7.6,9.6,7.4,4.6,1.5,1.0,1.4,-2.6,7.4,0.1,3.1,1.9,9.9,8.1,9.5,4.7,8.9,2.4,5.1,11.5,9.5,0.1,11.4,9.7,10.2,-1.3,2.7
s236970,Mia Møller,2.4,7.0,1.0,2.4,9.2,9.0,,2.1,-2.1,-2.6,-1.2,3.3,,1.2,2.5,3.5,8.1,0.9,9.1,0.9,2.8,10.2,0.4,10.5,9.7,10.7,0.0,0.8,6.1,10.6,3.3
s218994,Naja Laursen,0.9,0.9,9.6,7.3,,2.6,6.9,1.3,8.7,-1.7,8.1,11.3,1.4,,1.7,8.5,9.2,11.7,0.3,8.8,2.8,9.7,11.2,,-1.0,4.7,0.4,-1.8,11.9,5.0,9.6
s196306,Jonas Eriksen,-2.3,7.1,2.1,2.2,6.8,5.8,7.2,11.5,4.2,5.8,4.9,-2.8,-2.3,8.8,9.1,5.4,-1.7,-2.5,7.7,8.0,10.9,4.4,-2.8,3.4,3.1,,10.2,7.2,-0.6,4.9,0.5
s204667,Mikkel Petersen,-0.9,2.7,-1.0,8.7,10.3,9.3,-2.0,6.7,2.3,6.1,,-2.6,11.4,0.1,7.3,8.3,1.5,2.0,6.2,9.6,9.9,5.0,4.5,11.2,8.8,6.3,8.6,-2.2,4.9,,10.2
s235056,Amelia Andersen,10.8,7.3,6.6,10.1,0.5,7.1,5.9,1.0,-0.1,9.6,,7.4,3.7,5.1,-0.7,1.2,-1.9,1.4,4.9,1.4,8.1,10.4,9.4,-1.9,9.0,0.2,10.1,3.6,5.0,11.5,9.2
s231247,Camilla Lauridsen,3.8,-2.7,7.3,9.3,7.0,4.1,-1.0,0.7,0.7,-1.7,-0.7,4.2,4.0,5.2,,-1.3,3.9,9.1,10.1,-0.1,4.2,5.1,8.8,7.4,6.5,,10.6,4.5,10.5,-1.4,2.1
s201242,Oliver Espersen,1.5,5.8,-0.2,12.0,9.2,3.7,4.6,1.9,-1.3,-1.1,5.3,9.3,10.2,9.5,0.6,10.4,11.2,-1.8,9.9,-3.0,3.9,5.5,-2.7,1.5,-1.7,5.0,7.5,7.5,-1.2,8.9,8.8
s202408,Isabella Larsen,2.5,11.4,0.8,,4.3,-2.2,5.3,1.5,10.6,7.0,6.4,8.2,-1.7,-0.2,6.4,11.8,10.4,0.2,11.2,5.4,6.2,3.2,2.6,10.1,,-1.2,11.2,3.7,1.3,2.2,3.4
s206178,Sophia Thomsen,6.5,7.8,5.0,5.0,0.1,-1.1,2.3,9.5,3.1,-0.6,5.7,5.0,0.8,-1.9,2.8,11.4,-1.7,3.0,8.2,8.9,-0.4,5.3,,5.8,6.8,10.3,9.3,1.9,2.6,8.3,6.6
s204115,Lily Jørgensen,10.8,6.3,10.0,11.6,11.5,-1.6,0.5,9.0,6.3,6.7,9.6,6.5,-1.7,1.6,-2.8,5.1,0.1,11.3,3.7,-0.3,-0.3,6.7,8.5,10.5,3.4,,-1.3,7.3,-1.6,6.2,8.2
s204505,William Bertelsen,1.6,-3.0,3.7,11.1,11.3,8.4,10.7,-1.9,,3.8,8.7,-0.1,10.8,6.7,0.1,6.7,10.9,-0.7,-0.7,0.3,3.5,0.7,4.3,-1.9,8.5,-1.3,5.4,6.9,5.9,-0.4,3.5
s197244,Sara Bach,11.8,5.1,2.3,-2.3,9.6,3.6,2.2,8.6,5.0,2.0,2.9,-0.9,0.5,6.8,8.6,2.2,11.1,1.3,-1.6,10.4,-2.5,-2.4,9.5,-2.1,-1.2,11.4,,,0.2,5.4,7.4
s217091,Sara Pedersen,5.6,5.1,2.7,5.2,1.0,1.4,0.2,8.2,2.5,5.8,8.5,8.4,-1.9,,-0.0,5.3,7.0,0.6,8.9,-2.2,3.3,10.8,-0.1,2.1,9.1,6.0,,8.1,11.6,1.3,4.3
