StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10,Assignment11
s197076,Clara Thomsen,-3,0,12,4,0,10,4,-3,10,12,10
s228540,Mason Knudsen,10,7,0,12,12,2,-3,12,7,2,-3
s212154,Oscar Johansen,-3,-3,2,7,-3,7,4,-3,4,10,12
s208155,Elias Laursen,2,10,10,-3,10,7,2,,10,10,4
s239654,Isabel Holm,0,,7,,,12,2,2,2,12,7
s215922,Daniel Kjeldsen,7,4,0,0,7,0,4,0,2,4,4
s209171,Daniel Thomsen,4,2,2,12,0,10,7,0,4,0,
s225834,Alma Carstensen,0,12,12,12,0,,2,-3,0,-3,
s209459,Clara Andersen,0,-3,4,2,7,10,,12,12,0,-3
s201139,Jonas Olsen,10,7,12,0,0,4,0,10,0,12,7
s207684,Sebastian Rasmussen,-3,0,-3,0,10,0,7,0,12,7,2
s194729,Luna Schmidt,-3,2,0,7,2,-3,10,12,0,-3,12
s224499,Luna Eriksen,10,0,2,4,7,10,4,7,0,7,2
s197898,Lucas Christiansen,0,10,12,10,12,12,4,12,2,-3,10
s213388,Sebastian Petersen,0,7,12,-3,7,0,4,-3,,7,7
s218652,Mathias Hansen,4,-3,10,2,0,,4,4,-3,4,7
s235913,David Christensen,,2,2,2,2,,12,2,12,-3,10
s209561,Liam Knudsen,10,4,-3,2,4,12,2,12,12,-3,2
s237137,Adam Christensen,0,0,-3,2,2,7,,-3,4,7,4
s217971,Oscar Jensen,7,,2,0,,-3,-3,7,0,2,-3
