StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10
s231252,Ava Knudsen,4,0,12,-3,12,10,10,0,4,7
s228967,Daniel Carstensen,12,12,0,2,10,-3,4,12,2,7
s194582,Isabella Pedersen,12,12,10,-3,12,0,10,,2,-3
s201678,Sara Olsen,4,7,12,2,-3,10,10,12,10,
s191746,Sophie Nielsen,-3,0,4,4,2,4,-3,10,4,0
s231056,Mathias Thomsen,-3,0,7,4,0,12,12,2,12,10
s202585,Sara Gregersen,12,-3,12,4,-3,7,4,0,-3,4
s213086,Sebastian Espersen,10,12,7,4,4,0,2,12,10,7
s223305,Ida Sørensen,-3,,2,,7,,10,,10,4
s217664,Hannah Pedersen,-3,-3,7,-3,10,12,-3,12,2,4
s237662,William Rasmussen,-3,4,10,-3,0,0,7,-3,2,12
s227911,Daniel Jørgensen,2,4,-3,0,7,10,-3,12,0,7
s209850,Alma Poulsen,12,2,7,7,4,4,12,12,0,4
s222016,Mia Petersen,7,4,0,4,,12,0,10,4,12
s225052,Amelia Friis,-3,12,4,12,-3,0,0,4,4,7
s198975,Adam Hjorth,10,-3,12,4,-3,12,12,10,0,12
s205927,Benjamin Iversen,0,2,-3,-3,4,0,12,2,4,4
s227716,Sara Bach,2,12,12,-3,0,0,0,2,2,10
s205607,Emily Christensen,7,7,-3,4,2,,0,-3,,0
s211141,Nikolaj Laursen,4,4,0,-3,12,0,10,2,-3,0
s212213,Clara Holm,-3,7,4,-3,10,7,-3,12,4,2
s218348,Nikolaj Kristensen,7,10,10,7,,-3,10,0,2,7
s193299,Anna Christiansen,4,-3,12,0,12,-3,2,4,7,-3
s227494,Magnus Bertelsen,2,-3,12,4,0,12,2,4,-3,
s202082,Louise Petersen,7,4,12,2,10,0,-3,7,10,0
s211858,Nikolaj Gregersen,-3,12,4,2,-3,10,-3,-3,12,10
s211661,Amelia Andersen,12,10,7,12,2,0,4,0,10,7
s238861,Lucas Kjeldsen,12,2,4,-3,2,12,-3,7,2,2
s195836,Elias Johansen,,7,10,10,-3,4,7,10,12,4
s222919,Lea Larsen,2,10,4,10,10,4,10,2,-3,0
s223111,Tobias Jensen,4,4,4,7,0,12,10,-3,-3,2
s216727,Elias Poulsen,0,7,4,4,10,10,10,7,4,2
s209598,Jonas Friis,2,0,4,0,10,0,4,4,12,10
