StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10,Assignment11,Assignment12,Assignment13,Assignment14,Assignment15,Assignment16,Assignment17,Assignment18,Assignment19,Assignment20,Assignment21,Assignment22,Assignment23,Assignment24,Assignment25,Assignment26,Assignment27
s199636,Viktoria Bertelsen,4,12,7,2,4,4,7,0,4,4,2,0,7,4,,10,4,0,2,4,2,2,7,12,4,2,4
s226016,Sebastian Hjorth,4,10,4,12,0,4,7,4,10,4,4,4,7,10,4,12,0,4,2,4,4,10,10,10,12,0,
s239834,David Johansen,4,4,,2,4,4,10,2,4,,7,0,12,12,0,4,4,4,7,4,12,0,4,10,4,12,0
s201393,Benjamin Gregersen,4,7,0,0,,4,7,0,0,4,7,,4,2,4,10,,12,2,12,12,2,10,4,4,7,10
s233656,Frederik Kristensen,7,2,4,10,0,7,4,7,7,4,10,,4,4,2,2,4,7,,4,4,-3,2,10,0,2,7
s239932,Emil Jørgensen,,,0,0,12,4,4,0,0,0,10,4,0,2,0,10,2,10,0,10,4,4,4,7,2,2,12
s205504,Lucas Sørensen,7,4,2,4,10,7,12,0,7,,0,12,0,4,4,2,10,4,4,2,7,0,2,12,2,7,4
s216854,Mia Eriksen,7,0,4,4,12,4,,7,4,4,4,4,0,10,2,12,4,2,4,0,12,12,4,2,12,4,7
s218903,William Olsen,2,4,4,4,0,7,4,7,10,12,4,2,10,4,4,4,7,7,12,7,0,7,12,12,7,2,4
s235615,Liam Vestergaard,2,4,12,2,12,0,12,7,2,0,10,12,10,2,7,,4,0,7,7,12,4,12,12,4,7,4
s232401,Naja Pedersen,2,4,12,4,0,10,4,4,0,10,10,7,10,4,7,4,0,0,12,12,0,4,0,4,10,4,4
s193625,Camilla Madsen,12,,7,-3,10,7,0,2,7,10,4,,4,7,4,4,10,12,4,4,10,0,2,7,4,7,0
s206702,Maria Møller,0,4,10,7,4,0,4,2,0,7,2,0,7,7,10,4,2,10,10,4,,12,10,10,,2,4
s208722,Tobias Nielsen,10,2,0,7,4,0,12,4,4,4,4,12,7,12,4,10,4,4,4,7,10,0,10,7,2,10,7
s233905,Maria Holm,4,12,12,2,4,,10,4,12,10,4,0,,2,4,,0,7,0,2,0,4,12,,0,4,10
s197970,Sebastian Holm,7,2,,10,12,10,,12,4,10,4,7,0,10,12,2,7,2,12,4,4,10,7,12,4,12,4
s195833,Benjamin Krogh,2,12,2,4,12,12,10,12,10,7,4,10,4,4,12,7,0,4,12,10,4,4,0,4,2,7,2
s215000,Mason Bach,0,7,7,4,4,4,4,4,4,7,4,2,12,7,2,4,4,4,12,7,0,12,,7,4,4,
s234089,Viktoria Krogh,10,12,,2,4,2,4,7,4,4,12,7,4,,0,10,10,12,7,12,12,4,7,4,4,0,4
s223028,Isabella Madsen,4,,2,7,0,12,,4,2,4,10,,0,10,,7,4,10,4,2,2,4,4,0,4,2,12
s217485,Jonas Christiansen,7,7,10,7,10,4,2,10,4,12,4,0,0,,12,4,4,,4,,7,7,2,10,12,10,10
s207316,Benjamin Christiansen,10,2,,,2,7,10,12,4,0,7,10,4,7,4,2,0,4,4,4,,12,0,10,12,4,2
s206250,Clara Bertelsen,7,2,10,4,4,10,0,10,4,7,-3,4,2,0,4,4,0,12,0,12,4,,2,2,10,0,12
s234452,Olivia Møller,0,0,4,4,12,4,12,0,10,4,4,10,7,,12,4,4,4,,4,4,7,0,12,12,12,4
s234111,Frederik Bach,7,0,2,2,,2,12,4,2,,12,7,2,2,0,12,0,10,2,12,,4,0,2,12,0,4
s226949,Lily Jakobsen,12,0,4,2,2,4,0,4,2,4,12,4,2,10,,4,2,10,0,12,0,,7,4,2,10,2
s226733,Alexander Kristensen,10,4,,4,12,4,2,4,10,0,2,4,4,4,0,4,4,12,2,0,7,7,4,4,4,7,4
s196201,Tobias Jakobsen,2,10,2,10,2,4,12,10,4,10,10,2,7,4,4,7,12,7,10,0,7,4,7,0,,4,4
s218450,Emil Hjorth,2,,12,7,10,0,0,0,7,12,10,10,4,2,10,7,7,0,2,10,2,0,12,10,2,4,7
s222288,Frederik Knudsen,4,0,10,12,7,12,7,0,10,10,,4,12,4,0,4,4,10,0,4,12,2,7,2,0,10,
s213687,Lucas Olsen,4,4,4,4,4,4,10,2,10,4,7,0,4,10,0,7,7,2,10,0,,0,0,12,10,4,4
s219452,Maria Olsen,12,2,0,0,7,7,12,12,4,0,7,4,,10,2,2,10,12,4,12,12,0,4,4,0,7,0
s204897,Mia Petersen,10,4,4,10,12,0,7,4,7,4,2,4,0,10,0,0,7,4,12,0,12,12,4,12,0,2,12
s239347,Louise Jakobsen,4,4,,4,,4,10,12,2,4,4,7,4,10,4,7,4,10,7,4,4,4,4,10,,2,0
s203697,Naja Johansen,4,0,10,4,4,12,10,7,12,12,2,,4,7,0,,2,4,2,2,2,10,10,0,0,4,7
s222444,Amelia Jakobsen,0,12,2,10,2,4,4,12,12,0,2,0,0,4,7,12,4,0,2,7,12,7,4,,7,0,12
s237677,Jacob Madsen,0,0,4,4,7,10,0,12,4,10,0,2,12,10,4,7,2,10,12,4,10,2,12,7,4,4,4
s232589,Mathias Mortensen,4,7,2,12,7,7,12,10,4,4,7,12,4,0,4,4,10,10,12,0,7,,7,2,12,4,10
s222267,Ella Gregersen,0,12,10,2,12,4,0,7,2,,4,10,7,,,4,0,12,4,10,2,4,4,4,4,10,4
s203271,Alma Christiansen,12,0,7,7,4,4,4,4,2,4,4,7,7,2,12,12,10,10,4,4,4,7,12,0,4,4,4
s216237,Oliver Møller,,10,4,4,7,4,0,12,4,,2,2,7,4,0,2,7,0,4,,4,4,7,-3,,12,0
s227335,Isabel Dahl,10,4,7,12,12,2,7,0,0,4,10,0,2,2,4,4,7,12,7,2,10,2,7,4,12,0,4
s193485,Adam Hjorth,2,0,12,4,4,7,10,4,4,4,7,7,12,10,4,0,10,12,12,0,4,7,12,12,4,12,10
s222448,Simon Jørgensen,2,12,12,4,12,,10,0,4,4,4,0,10,7,4,2,0,0,0,10,,12,,0,4,7,4
s205596,Tobias Knudsen,2,7,12,4,0,4,12,,7,,12,10,7,,10,0,4,2,0,10,2,0,4,7,12,4,12
s195304,Emil Nielsen,4,7,,2,4,12,7,0,12,7,0,12,2,0,12,7,4,4,0,0,12,12,4,,7,12,7
s214981,Maria Johansen,4,12,7,4,10,7,0,,,2,0,4,2,7,2,12,10,2,2,7,,10,,0,4,12,2
s214178,Elias Espersen,2,7,0,7,4,7,7,12,12,7,0,12,12,,4,4,4,4,12,4,7,2,4,4,0,0,4
s211769,Lucas Jørgensen,10,10,4,0,10,2,4,10,,0,2,10,7,12,10,12,4,,4,,7,4,2,10,12,10,7
s198570,Naja Rasmussen,0,10,10,12,4,12,4,0,7,0,0,10,12,10,4,4,0,2,4,4,0,7,12,10,7,4,0
s218082,Victor Holm,0,0,2,2,7,12,4,10,12,10,10,0,4,7,4,2,12,4,4,0,7,7,4,2,4,4,0
s191824,Adam Olsen,10,12,0,12,4,10,10,7,4,4,4,2,,4,10,12,,4,12,12,0,10,10,0,12,0,4
s232908,Amelia Krogh,4,4,4,4,,12,0,4,2,4,4,4,12,7,4,0,2,7,4,4,12,10,10,12,2,10,0
s219102,Alma Friis,4,2,0,4,0,7,7,2,2,4,4,10,7,0,12,0,7,4,4,10,10,2,7,0,12,4,10
s193326,Mia Laursen,0,4,10,0,12,,7,4,4,4,12,7,2,4,12,7,7,2,2,4,7,4,,10,12,2,10
s231566,David Holm,4,7,7,12,4,4,4,2,4,12,2,,4,2,4,4,7,0,0,12,0,10,0,12,,0,4
s239337,Louise Sørensen,12,4,0,4,,0,4,,0,2,12,10,,4,12,4,0,7,7,7,0,10,12,10,4,10,2
s218030,Olivia Eriksen,2,10,7,4,10,0,0,10,0,2,0,4,4,0,4,0,2,10,4,2,12,4,12,12,,7,2
s193209,Mathias Dahl,2,12,0,12,4,10,12,4,,0,10,12,4,4,4,10,2,7,4,2,2,4,2,12,4,4,0
s201592,Simon Hjorth,4,10,,4,2,12,7,10,0,4,4,4,4,10,7,2,10,0,12,12,2,10,12,7,2,7,4
s213976,Liam Krogh,4,0,4,12,,7,2,4,10,10,4,4,4,10,10,,2,7,12,7,0,4,12,0,2,10,12
s211914,Mia Larsen,10,2,7,2,4,7,7,12,0,4,4,10,7,4,0,10,0,7,4,4,7,2,10,7,4,7,0
s203223,Mathias Johansen,0,10,12,0,2,,7,,2,12,4,7,4,7,4,0,2,4,10,7,,4,4,4,2,4,10
s194060,Lily Poulsen,12,4,7,7,2,2,10,4,10,4,0,0,0,7,0,10,12,0,2,4,2,4,7,4,0,7,
s212175,Benjamin Kristensen,4,7,2,7,10,2,2,10,12,4,0,7,10,7,4,10,4,0,12,0,4,4,0,10,12,10,12
s203068,Viktoria Møller,12,0,12,7,10,7,4,12,7,10,10,10,4,10,2,2,10,0,7,2,10,12,4,7,0,7,4
s205335,Elias Madsen,7,10,,12,,4,4,4,0,2,4,4,4,10,7,10,0,10,12,,12,4,7,4,10,0,7
s223734,Emily Holm,0,7,2,0,4,2,10,4,0,12,4,10,4,12,4,2,7,7,4,7,7,4,12,4,0,4,4
s213307,Alma Olsen,7,12,12,7,4,0,12,10,10,,,12,7,4,7,10,4,4,12,4,4,0,4,0,12,0,4
s221652,Lily Thomsen,2,10,12,12,10,12,4,4,7,0,2,12,0,12,4,4,0,7,0,4,2,12,12,0,7,10,2
s231809,Tobias Møller,,10,4,10,,7,0,4,0,4,4,4,2,12,4,0,7,7,2,,2,10,7,12,4,4,12
s225293,Frederik Poulsen,,4,2,2,4,0,7,2,10,4,12,7,2,4,7,7,10,7,7,7,2,2,0,2,7,10,0
s202743,Nikolaj Laursen,,2,,0,4,0,2,10,0,10,4,4,10,12,2,4,7,12,10,12,0,7,7,4,10,4,12
s226240,Sara Johansen,4,4,,4,0,2,4,0,0,2,12,4,0,0,12,4,0,7,7,4,0,,4,2,0,12,0
s234039,Sophie Mortensen,4,4,4,4,4,4,0,12,4,10,10,12,7,4,7,7,4,7,4,10,7,4,10,0,4,10,4
s198425,Isabel Holm,7,4,,10,10,0,0,2,10,4,10,12,4,10,0,4,0,4,2,12,12,2,,4,4,4,12
