StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10,Assignment11,Assignment12,Assignment13,Assignment14,Assignment15,Assignment16,Assignment17,Assignment18,Assignment19,Assignment20,Assignment21,Assignment22
s191003,Viktoria Gregersen,0,2,4,4,4,2,10,12,10,4,7,7,2,2,2,7,0,10,0,0,2,0
s236536,Ella Johansen,12,12,0,12,10,4,0,4,2,4,12,7,7,4,10,10,10,4,4,12,12,10
s207736,Anna Friis,10,0,2,4,10,4,10,2,2,12,0,4,4,2,10,2,4,0,2,7,4,0
s227227,Noah Petersen,2,7,7,10,0,7,2,7,0,2,4,0,4,4,2,2,4,7,2,4,2,4
s233171,Adam Hansen,4,10,0,7,4,7,12,12,7,7,7,12,10,4,4,0,7,12,2,2,7,0
s192890,Anna Gregersen,4,0,4,12,2,7,10,4,12,12,7,10,10,2,10,0,4,0,0,4,4,4
s222407,Mathias Johansen,12,4,0,12,4,2,0,10,4,10,4,4,0,10,2,12,0,4,0,7,10,0
s215461,Magnus Larsen,12,12,7,2,2,10,0,7,4,4,10,10,4,0,2,0,2,4,10,4,12,2
s231278,Emily Petersen,4,2,7,2,12,12,2,2,4,7,4,4,10,12,7,2,2,10,0,7,2,10
s208370,Ida Christensen,4,7,0,10,7,10,4,0,10,4,0,4,4,12,4,10,2,4,4,4,4,4
s225918,Magnus Jakobsen,4,4,10,4,7,0,4,0,7,0,4,4,12,4,4,10,2,4,2,10,4,2
s196072,Oscar Gregersen,12,10,2,0,2,12,10,4,2,2,10,2,4,4,10,0,10,4,0,2,7,0
s194950,Ella Christensen,2,4,2,2,2,2,4,2,4,4,4,4,7,4,7,10,10,12,7,0,10,12
s221298,Luna Bach,0,0,0,7,10,4,12,4,12,2,12,-3,2,0,7,0,4,4,10,12,2,10
s205942,Anna Lauridsen,7,2,0,2,4,10,0,0,10,4,7,2,4,12,12,7,4,4,4,10,4,7
s209556,David Sørensen,4,4,2,7,12,4,4,0,10,4,12,0,10,0,12,4,4,10,0,10,0,10
s199130,Emma Iversen,12,12,10,4,7,4,4,2,12,10,12,12,4,4,12,4,0,10,4,12,4,2
s216897,Ida Sørensen,4,2,10,2,4,10,4,4,12,4,7,10,0,4,7,12,4,10,10,12,7,10
s194952,Benjamin Rasmussen,10,7,12,2,4,4,2,10,12,0,2,4,4,0,0,4,4,10,0,10,10,7
s201663,Isabella Eriksen,7,10,4,0,12,7,10,10,0,0,4,4,2,4,4,4,7,10,2,4,4,12
s203019,Mathias Dahl,10,7,4,12,4,2,2,7,4,2,4,12,12,10,0,7,7,2,4,4,12,4
s196303,Tobias Thomsen,0,10,4,12,2,7,10,12,4,10,2,12,0,4,10,2,4,7,4,4,4,4
s217245,Noah Bertelsen,4,10,7,10,4,12,7,0,4,4,4,2,12,2,12,4,0,2,4,4,0,2
s209405,Sophie Johansen,4,2,7,2,2,10,12,2,7,0,2,2,7,4,12,2,4,10,10,2,10,0
s201929,Magnus Pedersen,4,12,4,12,7,7,7,2,4,4,0,12,4,0,12,12,4,7,0,12,0,2
s231972,Mason Christensen,7,7,0,4,4,2,0,7,12,10,10,10,0,4,0,0,7,4,7,2,0,2
s231446,Amelia Johansen,7,2,7,10,12,4,4,4,4,4,7,10,10,10,4,7,12,0,7,10,12,10
s223162,Lea Pedersen,4,4,12,10,4,12,4,7,7,12,7,4,0,10,2,10,2,12,0,7,0,4
s215172,Ava Christiansen,10,4,0,0,12,10,10,4,4,7,4,4,4,4,4,10,12,7,4,4,0,2
s213899,Noah Pedersen,4,10,0,12,7,4,10,0,4,0,7,0,4,2,0,2,2,7,2,2,7,2
s238929,Emily Sørensen,0,4,7,0,0,2,4,7,2,10,4,2,2,2,2,4,4,12,0,10,0,0
s217662,Isabella Christensen,4,4,4,0,7,12,0,4,12,4,4,0,4,2,0,7,4,4,4,10,4,2
s234213,Ida Krogh,12,4,4,0,4,2,0,0,0,0,4,4,4,2,4,4,0,0,0,12,2,0
s209463,Alma Carstensen,2,7,12,2,0,12,4,7,10,4,10,4,4,4,0,0,10,10,12,4,12,2
s233299,Anna Jakobsen,4,4,4,7,4,0,2,10,4,2,4,4,4,0,2,7,0,2,4,4,0,4
s225858,Mathias Petersen,7,2,2,10,4,2,7,2,12,2,4,10,12,0,10,7,4,2,10,4,12,4
s227431,Amelia Laursen,10,12,4,4,12,12,2,4,0,7,-3,12,2,4,4,4,7,10,12,4,4,2
s204319,Clara Jakobsen,0,0,2,7,12,0,2,0,12,2,4,4,12,4,2,4,10,4,0,4,2,10
s193937,Camilla Nielsen,12,12,10,4,12,2,0,10,4,12,4,4,0,0,4,0,10,10,4,12,0,10
s191001,Louise Christensen,10,12,10,4,10,4,2,0,7,12,10,12,4,0,7,10,4,12,10,4,2,12
s222665,Nikolaj Petersen,10,10,7,10,12,0,10,12,4,4,7,10,4,4,2,2,4,0,4,4,10,10
s237789,Sophia Lauridsen,4,4,4,10,12,2,0,4,0,12,4,12,4,12,7,10,10,12,4,10,4,4
s214392,Emma Gregersen,4,7,0,12,7,7,4,0,10,4,12,12,7,2,12,12,4,0,7,4,4,0
s225002,Frederik Hermansen,4,10,4,7,0,4,4,2,4,10,4,7,4,2,4,4,4,10,12,12,4,4
s215063,Emil Schmidt,7,2,12,7,4,2,4,4,7,12,2,10,12,2,12,4,12,7,7,2,2,7
s203720,Noah Kjeldsen,4,4,10,4,4,4,0,12,2,2,2,12,12,4,4,4,4,12,2,0,4,12
s204381,Emma Nielsen,4,10,4,10,4,2,0,12,0,0,12,4,4,4,0,7,4,10,12,12,12,4
s226911,Mason Olsen,12,4,4,4,12,2,4,4,0,2,10,12,12,2,2,4,2,0,4,7,2,4
s198654,Viktoria Holm,4,2,2,2,12,4,4,10,0,2,4,7,12,7,10,12,2,0,12,0,0,4
s206551,Oscar Christiansen,2,10,2,0,0,4,10,10,12,12,4,2,12,10,4,4,2,0,0,4,12,4
s216025,Naja Dahl,7,4,10,12,10,10,10,4,10,4,0,0,4,12,0,7,0,10,4,2,7,4
s234573,Noah Hermansen,4,12,10,0,7,4,4,2,10,0,0,12,12,4,2,2,7,4,12,0,4,4
s238860,Liam Dahl,4,10,7,12,0,10,12,2,4,7,4,0,7,12,7,2,4,12,12,7,4,10
s232253,Viktoria Johansen,2,7,4,12,4,10,7,4,4,0,2,0,7,4,4,10,12,4,0,7,7,4
s226100,Clara Gregersen,12,12,0,7,12,0,4,0,4,7,12,10,4,12,4,0,7,7,12,12,4,12
s201942,David Hansen,7,0,4,10,2,2,10,2,4,2,2,4,10,2,0,2,2,0,12,2,12,12
s233343,Lily Gregersen,7,4,12,4,12,4,4,2,10,2,7,4,4,4,4,2,4,4,0,12,7,12
s213687,Liam Nielsen,7,12,4,10,4,7,0,0,4,2,7,10,4,4,10,0,4,4,0,0,2,0
s234308,Ella Lauridsen,12,4,2,4,2,7,4,7,2,10,4,7,4,0,2,4,2,4,7,10,0,10
s192587,Liam Eriksen,2,10,0,0,0,12,10,0,10,0,7,7,4,4,4,0,4,7,0,4,2,2
s231077,Anna Jørgensen,7,4,10,0,2,2,10,4,4,4,4,0,4,4,10,7,12,10,2,10,12,2
s193902,Amelia Kjeldsen,0,0,7,4,0,7,10,12,2,4,4,4,4,12,7,0,12,7,4,2,4,2
s207549,Elias Petersen,2,10,4,2,0,7,7,7,4,4,0,10,10,4,2,4,4,7,4,7,2,7
s211147,Isabel Mortensen,4,7,2,10,0,0,12,10,10,12,10,4,4,10,4,4,0,12,12,7,0,4
s223173,Mia Christiansen,4,0,0,4,10,7,12,2,4,4,4,2,12,7,7,2,7,2,7,2,4,12
s194307,Oscar Holm,2,4,4,4,4,0,0,4,12,10,7,2,10,4,4,7,10,4,10,2,10,2
s209023,Isabella Larsen,7,4,12,2,10,7,0,7,4,0,0,10,4,7,4,7,10,4,7,4,0,4
s223877,Isabella Schmidt,10,4,2,10,4,4,2,10,4,2,4,10,4,4,10,4,10,10,4,10,2,4
s205040,Louise Poulsen,10,4,7,4,12,10,4,0,12,2,10,2,4,2,2,4,7,4,10,2,4,2
s199578,Isabel Bach,10,0,4,7,0,4,0,12,2,7,12,4,12,4,4,10,4,4,12,4,12,4
s209678,Alma Hjorth,4,0,2,2,0,4,7,0,10,4,7,4,0,4,10,7,12,4,2,4,7,12
s234294,Oscar Jakobsen,2,7,12,12,4,12,10,12,10,4,0,4,2,7,7,10,0,10,12,4,4,4
s193912,Victor Carstensen,4,12,12,0,2,4,10,4,7,2,10,0,0,7,4,7,4,0,12,12,0,2
s235441,Mia Carstensen,4,4,0,4,4,0,10,12,2,2,0,4,4,4,7,12,7,4,10,0,4,2
s235808,Nikolaj Kristensen,4,10,4,12,0,7,12,0,4,7,7,12,4,4,0,2,0,4,7,7,10,10
s207130,Hannah Hjorth,10,7,0,7,12,12,2,7,4,4,4,4,10,0,4,0,0,4,2,0,2,12
s236111,Oliver Eriksen,4,7,7,7,2,0,7,7,12,0,2,2,2,2,4,2,0,12,10,10,2,0
s236614,Camilla Christiansen,4,10,4,0,4,0,2,7,0,4,4,12,7,2,7,4,4,4,2,4,10,4
