StudentID,Name,Assignment1,Assignment2,Assignment3
s209262,Adam Sørensen,-3,7,4
s212799,Alma Kristensen,4,-3,7
s191452,Anna Krogh,-3,2,0
s227381,Hannah Hjorth,-3,10,12
s216181,Hannah Madsen,0,12,-3
s207496,Naja Knudsen,7,10,4
s192313,Emily Thomsen,-3,0,2
s206617,Ida Holm,4,-3,10
s237861,William Jakobsen,4,12,15
s237005,Emil Christiansen,4,-3,-3
s228406,David Espersen,4,4,7
s213582,Emily Petersen,10,4,4
s213582,Alma Nielsen,0,12,2
s232003,Emily Sørensen,-3,-3,12
s204070,Mason Dahl,10,12,10
s208485,Jacob Dahl,2,-3,7
s218220,Viktoria Lauridsen,10,4,4
s224426,Luna Kristensen,4,7,4
s219114,Sophie Petersen,2,7,0
s214207,Anna Hjorth,-3,0,0
s231876,Mikkel Espersen,2,0,-3
s224611,Oscar Andersen,7,-3,2
s192278,Viktoria Poulsen,4,0,4
s226463,Mikkel Olsen,7,4,0
s226041,Noah Christensen,10,-3,2
s226476,Sara Kristensen,7,7,10
s215275,Isabella Dahl,12,7,7
s225089,Simon Sørensen,4,12,10
s212627,Naja Krogh,2,0,0
s191992,Elias Petersen,12,2,7
s226173,Emil Thomsen,10,2,10
s213167,Jacob Sørensen,7,12,2
s229211,Sophie Friis,2,0,-3
s222158,Ida Madsen,7,7,12
s216833,Sara Espersen,10,10,7
s191204,Daniel Friis,2,4,2
s228352,Louise Hermansen,7,-3,10
s226298,Mason Gregersen,10,10,2
s209070,Amelia Larsen,5,12,7
s227679,Oscar Iversen,-3,7,7
s208471,Noah Madsen,10,0,12
s207431,Oscar Petersen,-3,2,-3
s216520,Olivia Møller,7,-3,7
s234407,Amelia Carstensen,0,2,7
s203794,Alma Bertelsen,0,-3,12
